player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date
132,Paris Maghoma,Maghoma,Brentford,4.5,0.0,193,155,0.0,0,a,2025-12-30
133,Myles Peart-Harris,Peart-Harris,Brentford,4.4,0.0,64,104,0.0,0,a,2025-12-30
134,Ryan Trevitt,Trevitt,Brentford,4.5,0.0,0,0,0.0,0,u,2025-12-30
136,Igor Thiago Nascimento Rodrigues,Thiago,Brentford,7.0,28.2,44916,176312,2.4,1491,a,2025-12-30
137,Iwan Morgan,Morgan,Brentford,4.4,0.4,645,1188,0.0,0,a,2025-12-30
748,Josh Dasilva,Dasilva,Brentford,4.9,0.0,3,5,0.0,0,i,2025-12-30
138,Jason Steele,Steele,Brighton,4.2,0.3,137,376,0.0,0,a,2025-12-30
139,Bart Verbruggen,Verbruggen,Brighton,4.4,5.6,28923,7364,4.0,1620,a,2025-12-30
140,Tom McGill,McGill,Brighton,3.9,0.3,229,494,0.0,0,a,2025-12-30
141,Carl Rushworth,Rushworth,Brighton,4.0,0.0,0,3,0.0,0,u,2025-12-30
142,Kjell Scherpen,Scherpen,Brighton,4.0,0.0,0,1,0.0,0,u,2025-12-30
143,Olivier Boscagli,Boscagli,Brighton,4.2,0.1,118,187,1.5,142,a,2025-12-30
144,Diego Coppola,Coppola,Brighton,4.2,0.1,129,94,1.2,193,a,2025-12-30
145,Maxim De Cuyper,De Cuyper,Brighton,4.3,2.5,16123,7010,5.0,808,a,2025-12-30
146,Lewis Dunk,Dunk,Brighton,4.5,0.9,3692,1684,1.2,1485,a,2025-12-30
147,Pervis Estupiñán Tenorio,Estupiñan,Brighton,4.5,0.0,0,5,0.0,0,u,2025-12-30
148,Ferdi Kadıoğlu,F.Kadıoğlu,Brighton,4.4,0.3,2275,865,2.8,1332,a,2025-12-30
150,Tariq Lamptey,Lamptey,Brighton,4.4,0.1,0,69,0.0,0,u,2025-12-30
151,Jan Paul van Hecke,Van Hecke,Brighton,4.5,4.1,36545,15705,4.5,1530,a,2025-12-30
152,Joël Veltman,Veltman,Brighton,4.3,0.1,200,228,0.5,403,a,2025-12-30
153,Adam Webster,Webster,Brighton,4.4,0.0,11,10,0.0,0,i,2025-12-30
154,Eiran Cashin,Cashin,Brighton,4.0,0.0,0,2,0.0,0,u,2025-12-30
155,Jacob Slater,Slater,Brighton,4.0,0.1,0,73,0.0,0,u,2025-12-30
156,Charlie Tasker,Tasker,Brighton,3.9,0.1,84,268,0.0,0,a,2025-12-30
157,Mitoma Kaoru,Mitoma,Brighton,6.1,1.8,1528,3671,0.3,560,a,2025-12-30
158,Georginio Rutter,Georginio,Brighton,5.6,0.4,4369,1650,2.8,1172,a,2025-12-30
159,Solly March,March,Brighton,5.8,0.0,5,14,0.0,0,i,2025-12-30
160,Yankuba Minteh,Minteh,Brighton,6.0,6.3,37699,41894,2.3,1486,a,2025-12-30
161,Julio Enciso Espínola,Enciso,Brighton,5.4,0.0,0,5,0.0,0,u,2025-12-30
162,Brajan Gruda,Gruda,Brighton,5.4,0.1,274,171,1.5,512,a,2025-12-30
163,Jack Hinshelwood,Hinshelwood,Brighton,5.1,0.1,388,243,2.8,482,a,2025-12-30
164,Matt O'Riley,O'Riley,Brighton,5.5,0.3,0,129,0.0,177,u,2025-12-30
165,Abdallah Sima,Sima,Brighton,5.4,0.0,0,2,0.0,0,u,2025-12-30
166,Yasin Ayari,Ayari,Brighton,4.8,0.2,1709,531,2.0,1257,a,2025-12-30
167,Carlos Baleba,Baleba,Brighton,4.6,1.4,122,4268,1.3,894,n,2025-12-30
