player_id,timestamp,net_now,net_prev,velocity
394,2025-12-22_13-48-26,0,0,0
395,2025-12-22_13-48-26,0,0,0
396,2025-12-22_13-48-26,-84,0,84
397,2025-12-22_13-48-26,-1,0,1
398,2025-12-22_13-48-26,-10,0,10
499,2025-12-22_13-48-26,-1903,0,1903
661,2025-12-22_13-48-26,61496,0,-61496
686,2025-12-22_13-48-26,328,0,-328
692,2025-12-22_13-48-26,-1,0,1
746,2025-12-22_13-48-26,4,0,-4
760,2025-12-22_13-48-26,5,0,-5
182,2025-12-22_13-48-26,-79,0,79
399,2025-12-22_13-48-26,-30,0,30
400,2025-12-22_13-48-26,-12,0,12
401,2025-12-22_13-48-26,-7,0,7
402,2025-12-22_13-48-26,-524,0,524
403,2025-12-22_13-48-26,1835,0,-1835
404,2025-12-22_13-48-26,-5,0,5
405,2025-12-22_13-48-26,-53,0,53
406,2025-12-22_13-48-26,-5,0,5
407,2025-12-22_13-48-26,1876,0,-1876
408,2025-12-22_13-48-26,3092,0,-3092
409,2025-12-22_13-48-26,-109,0,109
410,2025-12-22_13-48-26,-110,0,110
411,2025-12-22_13-48-26,3109,0,-3109
412,2025-12-22_13-48-26,-1,0,1
413,2025-12-22_13-48-26,-238,0,238
414,2025-12-22_13-48-26,16216,0,-16216
415,2025-12-22_13-48-26,-7,0,7
416,2025-12-22_13-48-26,11,0,-11
417,2025-12-22_13-48-26,7573,0,-7573
418,2025-12-22_13-48-26,-6785,0,6785
420,2025-12-22_13-48-26,-3,0,3
421,2025-12-22_13-48-26,-26,0,26
422,2025-12-22_13-48-26,1,0,-1
423,2025-12-22_13-48-26,-12,0,12
424,2025-12-22_13-48-26,-52,0,52
425,2025-12-22_13-48-26,0,0,0
427,2025-12-22_13-48-26,825,0,-825
428,2025-12-22_13-48-26,0,0,0
429,2025-12-22_13-48-26,-3,0,3
430,2025-12-22_13-48-26,3028,0,-3028
736,2025-12-22_13-48-26,245,0,-245
739,2025-12-22_13-48-26,-1,0,1
740,2025-12-22_13-48-26,-10,0,10
742,2025-12-22_13-48-26,-4,0,4
763,2025-12-22_13-48-26,6,0,-6
764,2025-12-22_13-48-26,2,0,-2
119,2025-12-22_13-48-26,-14939,0,14939
431,2025-12-22_13-48-26,-20,0,20
432,2025-12-22_13-48-26,-7,0,7
433,2025-12-22_13-48-26,0,0,0
434,2025-12-22_13-48-26,-10,0,10
435,2025-12-22_13-48-26,2,0,-2
