player_id,net_transfers_delta,timestamp
538,-11,2025-12-24_07-02-06
539,-1,2025-12-24_07-02-06
540,-10,2025-12-24_07-02-06
541,-118,2025-12-24_07-02-06
542,0,2025-12-24_07-02-06
543,-5,2025-12-24_07-02-06
544,-1,2025-12-24_07-02-06
545,0,2025-12-24_07-02-06
546,0,2025-12-24_07-02-06
547,147,2025-12-24_07-02-06
548,0,2025-12-24_07-02-06
549,1,2025-12-24_07-02-06
550,1,2025-12-24_07-02-06
551,5,2025-12-24_07-02-06
552,-2,2025-12-24_07-02-06
553,-17,2025-12-24_07-02-06
554,0,2025-12-24_07-02-06
555,0,2025-12-24_07-02-06
556,0,2025-12-24_07-02-06
557,1,2025-12-24_07-02-06
558,10,2025-12-24_07-02-06
559,0,2025-12-24_07-02-06
560,-152,2025-12-24_07-02-06
561,3,2025-12-24_07-02-06
562,-11,2025-12-24_07-02-06
563,0,2025-12-24_07-02-06
564,-1,2025-12-24_07-02-06
668,222,2025-12-24_07-02-06
670,396,2025-12-24_07-02-06
678,-12,2025-12-24_07-02-06
683,365,2025-12-24_07-02-06
694,401,2025-12-24_07-02-06
724,1,2025-12-24_07-02-06
730,-15,2025-12-24_07-02-06
735,-5,2025-12-24_07-02-06
565,-171,2025-12-24_07-02-06
566,-2,2025-12-24_07-02-06
567,-20,2025-12-24_07-02-06
568,-272,2025-12-24_07-02-06
569,-438,2025-12-24_07-02-06
570,-4,2025-12-24_07-02-06
571,1,2025-12-24_07-02-06
572,0,2025-12-24_07-02-06
573,2,2025-12-24_07-02-06
574,-10,2025-12-24_07-02-06
575,-717,2025-12-24_07-02-06
576,0,2025-12-24_07-02-06
577,-1,2025-12-24_07-02-06
578,-6,2025-12-24_07-02-06
579,0,2025-12-24_07-02-06
580,-18,2025-12-24_07-02-06
581,0,2025-12-24_07-02-06
582,-209,2025-12-24_07-02-06
583,0,2025-12-24_07-02-06
584,-4,2025-12-24_07-02-06
585,-3,2025-12-24_07-02-06
586,0,2025-12-24_07-02-06
587,0,2025-12-24_07-02-06
588,1,2025-12-24_07-02-06
589,0,2025-12-24_07-02-06
590,0,2025-12-24_07-02-06
591,2,2025-12-24_07-02-06
592,0,2025-12-24_07-02-06
593,-58,2025-12-24_07-02-06
594,0,2025-12-24_07-02-06
595,0,2025-12-24_07-02-06
596,-6,2025-12-24_07-02-06
597,-196,2025-12-24_07-02-06
598,0,2025-12-24_07-02-06
599,-8,2025-12-24_07-02-06
673,-19,2025-12-24_07-02-06
717,-145,2025-12-24_07-02-06
726,-3,2025-12-24_07-02-06
745,0,2025-12-24_07-02-06
750,0,2025-12-24_07-02-06
751,0,2025-12-24_07-02-06
149,3,2025-12-24_07-02-06
600,-4,2025-12-24_07-02-06
601,0,2025-12-24_07-02-06
602,3,2025-12-24_07-02-06
603,-96,2025-12-24_07-02-06
604,0,2025-12-24_07-02-06
605,-11,2025-12-24_07-02-06
606,-10,2025-12-24_07-02-06
607,-1,2025-12-24_07-02-06
608,-1,2025-12-24_07-02-06
609,0,2025-12-24_07-02-06
610,-203,2025-12-24_07-02-06
611,-1,2025-12-24_07-02-06
612,47,2025-12-24_07-02-06
613,-4,2025-12-24_07-02-06
614,-1,2025-12-24_07-02-06
615,10,2025-12-24_07-02-06
616,0,2025-12-24_07-02-06
617,0,2025-12-24_07-02-06
618,2,2025-12-24_07-02-06
619,0,2025-12-24_07-02-06
620,-2,2025-12-24_07-02-06
621,14,2025-12-24_07-02-06
622,-1,2025-12-24_07-02-06
623,33,2025-12-24_07-02-06
624,257,2025-12-24_07-02-06
625,3,2025-12-24_07-02-06
626,-9,2025-12-24_07-02-06
659,11,2025-12-24_07-02-06
671,-67,2025-12-24_07-02-06
679,1,2025-12-24_07-02-06
708,46,2025-12-24_07-02-06
718,1,2025-12-24_07-02-06
738,1,2025-12-24_07-02-06
747,-1,2025-12-24_07-02-06
752,0,2025-12-24_07-02-06
758,0,2025-12-24_07-02-06
627,-6,2025-12-24_07-02-06
628,-14,2025-12-24_07-02-06
629,-4,2025-12-24_07-02-06
631,-7,2025-12-24_07-02-06
632,-2,2025-12-24_07-02-06
633,-5,2025-12-24_07-02-06
634,-1,2025-12-24_07-02-06
635,-1,2025-12-24_07-02-06
636,-2,2025-12-24_07-02-06
637,-7,2025-12-24_07-02-06
638,87,2025-12-24_07-02-06
639,0,2025-12-24_07-02-06
640,-4,2025-12-24_07-02-06
641,-10,2025-12-24_07-02-06
642,-5,2025-12-24_07-02-06
643,-15,2025-12-24_07-02-06
644,-1,2025-12-24_07-02-06
645,-1,2025-12-24_07-02-06
646,-12,2025-12-24_07-02-06
647,0,2025-12-24_07-02-06
648,-6,2025-12-24_07-02-06
649,0,2025-12-24_07-02-06
650,-4,2025-12-24_07-02-06
651,-3,2025-12-24_07-02-06
652,25,2025-12-24_07-02-06
653,0,2025-12-24_07-02-06
654,-12,2025-12-24_07-02-06
655,0,2025-12-24_07-02-06
656,0,2025-12-24_07-02-06
657,-3,2025-12-24_07-02-06
658,-30,2025-12-24_07-02-06
663,-11,2025-12-24_07-02-06
682,-1,2025-12-24_07-02-06
695,-1,2025-12-24_07-02-06
709,-3,2025-12-24_07-02-06
720,0,2025-12-24_07-02-06
749,9,2025-12-24_07-02-06
766,2,2025-12-24_07-02-06
767,1,2025-12-24_07-02-06
