player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,net_transfers_delta,price_change,velocity,trend_score
72,Marcos Senesi Barón,Senesi,Bournemouth,4.9,16.5,4757,25032,2.8,1488,a,-709,0.0,-237.66666666666663,-79.13333333333328
73,Adam Smith,Smith,Bournemouth,4.4,0.2,68,197,1.5,521,a,-5,0.0,-238.0,-110.6666666666666
74,Adrien Truffert,Truffert,Bournemouth,4.5,2.3,620,6662,2.8,1579,a,-210,0.0,-308.0,-156.7333333333333
75,Matai Akinmboni,Akinmboni,Bournemouth,3.8,0.2,36,111,0.0,0,d,-3,0.0,-72.66666666666667,-170.99999999999994
76,Owen Bevan,Bevan,Bournemouth,3.9,0.2,24,62,0.0,0,a,-1,0.0,-71.33333333333333,-185.53333333333327
77,James Hill,Hill,Bournemouth,3.9,0.7,85,544,0.3,302,a,-20,0.0,-8.0,-139.59999999999997
78,Julián Araujo Zúñiga,J.Araujo,Bournemouth,3.8,0.7,291,526,0.0,0,a,-17,0.0,-12.666666666666666,-94.53333333333329
79,Chris Mepham,Mepham,Bournemouth,4.0,0.1,0,19,0.0,0,u,-1,0.0,-12.666666666666666,-35.466666666666626
80,Julio Soler Barreto,Soler,Bournemouth,4.0,0.2,108,139,0.3,33,a,-2,0.0,-6.666666666666667,-22.26666666666662
81,Justin Kluivert,Kluivert,Bournemouth,7.0,0.9,535,1905,1.8,751,a,-50,0.0,-17.666666666666668,-11.533333333333289
82,Antoine Semenyo,Semenyo,Bournemouth,7.7,47.0,44047,35698,5.5,1530,a,374,0.0,107.33333333333331,11.533333333333374
84,Marcus Tavernier,Tavernier,Bournemouth,5.6,3.2,3658,9850,3.7,1426,a,-279,0.0,15.0,17.06666666666671
85,Tyler Adams,Adams,Bournemouth,5.0,0.3,1,679,1.8,1196,i,-16,0.0,26.33333333333333,24.866666666666706
86,David Brooks,Brooks,Bournemouth,5.0,0.2,114,166,0.8,763,a,-2,0.0,-99.0,6.400000000000039
87,Ryan Christie,Christie,Bournemouth,4.9,0.1,39,29,0.2,287,a,1,0.0,-5.666666666666667,8.800000000000042
88,Lewis Cook,Cook,Bournemouth,4.9,0.0,58,37,1.0,394,a,3,0.0,0.6666666666666666,-12.533333333333289
89,Philip Billing,Philip,Bournemouth,4.9,0.0,0,5,0.0,0,u,0,0.0,1.3333333333333333,-15.266666666666623
90,Alex Scott,Scott,Bournemouth,5.0,0.3,227,269,2.8,1155,a,-6,0.0,-1.0,-20.733333333333288
91,Luis Sinisterra Lucumí,Sinisterra,Bournemouth,5.0,0.0,0,0,0.0,0,u,0,0.0,-2.0,-1.333333333333288
92,Romain Faivre,Faivre,Bournemouth,4.5,0.1,0,26,0.0,0,u,0,0.0,-2.0,-0.5999999999999546
93,Hamed Traorè,H.Traorè,Bournemouth,4.5,0.3,0,109,0.0,16,u,0,0.0,0.0,-0.7333333333332879
94,Dominic Sadi,Sadi,Bournemouth,4.5,0.0,0,8,0.0,0,u,0,0.0,0.0,-0.9999999999999545
95,Zain Silcott-Duberry,Silcott-Duberry,Bournemouth,4.4,0.1,0,30,0.0,0,u,-1,0.0,-0.3333333333333333,-0.8666666666666212
96,Ben Winterburn,Winterburn,Bournemouth,4.5,0.0,0,6,0.0,6,u,0,0.0,-0.3333333333333333,-0.5333333333332878
97,Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,7.0,1.8,516,5039,2.8,1189,a,-188,0.0,-63.0,-12.733333333333288
98,Enes Ünal,Enes Ünal,Bournemouth,5.4,0.0,80,125,0.5,61,a,1,0.0,-62.333333333333336,-25.199999999999953
99,Daniel Adu-Adjei,Adu-Adjei,Bournemouth,4.4,0.1,0,45,0.0,0,u,-2,0.0,-63.0,-37.799999999999955
100,Junior Kroupi,Kroupi.Jr,Bournemouth,4.6,4.1,4322,6766,1.7,489,a,-152,0.0,-51.0,-47.93333333333329
391,Ben Gannon-Doak,Gannon-Doak,Bournemouth,4.8,0.0,4,22,0.0,53,i,0,0.0,-51.333333333333336,-58.13333333333329
685,Bafodé Diakité,Diakité,Bournemouth,4.4,0.4,81,769,2.2,1260,a,-24,0.0,-58.66666666666666,-57.266666666666616
687,Remy Rees-Dottin,Rees-Dottin,Bournemouth,4.4,0.1,15,70,0.0,0,a,-2,0.0,-8.666666666666666,-46.53333333333329
697,Amine Adli,Adli,Bournemouth,5.4,0.0,36,58,1.8,391,a,1,0.0,-8.333333333333334,-35.59999999999995
713,Álex Jiménez Sánchez,A.Jimenez,Bournemouth,4.5,0.1,97,265,3.0,887,a,-1,0.0,-0.6666666666666666,-25.533333333333285
721,Veljko Milosavljevic,Milosavljević,Bournemouth,4.4,0.0,0,23,0.7,365,i,0,0.0,0.0,-15.266666666666618
756,Malcom DaCosta,DaCosta,Bournemouth,4.5,0.0,20,23,0.0,0,a,0,0.0,-0.3333333333333333,-3.5999999999999543
27,Reiss Nelson,Nelson,Brentford,4.8,0.1,46,29,0.3,32,a,2,0.0,0.6666666666666666,-1.733333333333288
83,Dango Ouattara,O.Dango,Brentford,5.9,0.5,10,3151,3.3,1061,n,-92,0.0,-30.0,-6.066666666666622
101,Caoimhín Kelleher,Kelleher,Brentford,4.5,8.4,6216,3297,4.3,1620,a,135,0.0,15.0,-2.9333333333332883
102,Ellery Balcombe,Balcombe,Brentford,3.9,0.3,97,81,0.0,0,a,-2,0.0,13.666666666666666,-0.19999999999995524
103,Matthew Cox,Cox,Brentford,3.9,0.2,60,105,0.0,0,a,1,0.0,44.66666666666666,8.800000000000043
104,Julian Eyestone,Eyestone,Brentford,3.9,0.1,22,95,0.0,0,a,-3,0.0,-1.3333333333333333,8.400000000000043
105,Hákon Rafn Valdimarsson,Valdimarsson,Brentford,3.9,0.7,79,308,0.0,0,a,-11,0.0,-4.333333333333333,13.533333333333378
106,Nathan Collins,Collins,Brentford,4.9,1.6,1139,1782,4.0,1546,a,6,0.0,-2.6666666666666665,10.000000000000043
107,Keane Lewis-Potter,Lewis-Potter,Brentford,4.8,1.6,10369,2601,5.3,728,a,255,0.0,83.33333333333333,23.933333333333373
108,Kristoffer Ajer,Ajer,Brentford,4.4,0.2,92,102,0.8,701,a,-4,0.0,85.66666666666667,32.133333333333375
109,Rico Henry,Henry,Brentford,4.3,0.1,141,121,2.5,518,a,2,0.0,84.33333333333333,49.26666666666671
110,Michael Kayode,Kayode,Brentford,4.5,0.7,613,983,2.7,1567,a,6,0.0,1.3333333333333333,50.40000000000004
111,Ethan Pinnock,Pinnock,Brentford,4.2,0.1,60,108,0.7,228,a,-6,0.0,0.6666666666666666,51.066666666666706
112,Mads Roerslev Rasmussen,Roerslev,Brentford,4.5,0.0,0,4,0.0,0,u,0,0.0,0.0,34.40000000000004
113,Sepp van den Berg,Van den Berg,Brentford,4.5,1.2,411,3464,2.5,1530,d,-179,0.0,-61.66666666666666,4.933333333333377
114,Benjamin Arthur,Arthur,Brentford,3.9,0.2,26,96,0.0,0,a,-5,0.0,-61.333333333333336,-24.199999999999953
115,Benjamin Fredrick,Fredrick,Brentford,4.0,0.1,0,22,0.0,0,u,-1,0.0,-61.66666666666666,-36.799999999999955
116,Aaron Hickey,Hickey,Brentford,4.0,0.5,391,809,2.7,423,a,-12,0.0,-6.0,-38.13333333333328
117,Kim Ji-soo,Ji-soo,Brentford,3.9,0.1,0,28,0.0,0,u,-2,0.0,-5.0,-39.13333333333328
118,Jayden Meghoma,Meghoma,Brentford,4.0,0.0,0,12,0.0,0,u,0,0.0,-4.666666666666667,-27.733333333333285
120,Kevin Schade,Schade,Brentford,7.0,1.1,28532,1531,4.7,1413,a,1225,0.0,407.6666666666667,66.06666666666672
121,Mikkel Damsgaard,Damsgaard,Brentford,5.8,0.6,430,1044,2.7,1041,a,-18,0.0,402.3333333333333,158.8666666666667
122,Antoni Milambo,Milambo,Brentford,5.2,0.0,3,10,0.0,45,i,0,0.0,402.3333333333333,240.5333333333334
123,Fábio Freitas Gouveia Carvalho,Carvalho,Brentford,4.7,0.1,4,114,0.0,100,i,-6,0.0,-8.0,239.9333333333334
124,Jordan Henderson,Henderson,Brentford,5.0,0.5,787,1171,3.8,1219,a,-13,0.0,-6.333333333333333,239.60000000000005
125,Vitaly Janelt,Janelt,Brentford,4.9,0.0,127,61,3.2,488,a,3,0.0,-5.333333333333333,157.00000000000006
126,Mathias Jensen,Jensen,Brentford,4.9,0.1,66,87,2.0,616,a,1,0.0,-3.0,75.93333333333337
127,Gustavo Nunes Fernandes Gomes,Nunes,Brentford,4.9,0.0,18,18,0.0,0,a,0,0.0,1.3333333333333333,-4.266666666666632
128,Frank Onyeka,Onyeka,Brentford,4.8,0.0,3,31,0.0,88,n,0,0.0,0.3333333333333333,-2.599999999999966
129,Yehor Yarmoliuk,Yarmoliuk,Brentford,5.0,0.1,103,69,2.3,1305,a,1,0.0,0.3333333333333333,-1.2666666666666324
130,Romelle Donovan,Donovan,Brentford,4.4,0.1,56,75,0.0,0,a,-2,0.0,-0.3333333333333333,-0.2666666666666326
131,Yunus Emre Konak,Konak,Brentford,4.3,0.2,178,269,0.0,0,a,-5,0.0,-2.0,-0.0666666666666326
132,Paris Maghoma,Maghoma,Brentford,4.5,0.0,73,39,0.0,0,a,2,0.0,-1.6666666666666667,-0.6666666666666325
133,Myles Peart-Harris,Peart-Harris,Brentford,4.4,0.0,25,32,0.0,0,a,-1,0.0,-1.3333333333333333,-0.9999999999999659
134,Ryan Trevitt,Trevitt,Brentford,4.5,0.0,0,0,0.0,0,u,0,0.0,0.3333333333333333,-0.9999999999999659
136,Igor Thiago Nascimento Rodrigues,Thiago,Brentford,7.0,29.5,15977,53599,4.2,1491,a,-1055,0.0,-352.0,-71.3333333333333
137,Iwan Morgan,Morgan,Brentford,4.4,0.4,245,324,0.0,0,a,-8,0.0,-354.3333333333333,-141.79999999999995
748,Josh Dasilva,Dasilva,Brentford,4.9,0.0,2,1,0.0,0,i,0,0.0,-354.3333333333333,-212.33333333333331
138,Jason Steele,Steele,Brighton,4.2,0.3,40,70,0.0,0,a,2,0.0,-2.0,-212.4666666666666
139,Bart Verbruggen,Verbruggen,Brighton,4.4,5.5,8456,1978,4.0,1620,a,177,0.0,59.66666666666666,-200.59999999999997
